-------------------1	-------------------
-corrido	-corrido
-das	-das
-Exf-«per	-exf-per
(<-lTcn	-ltcn
-ma-Ç0CB	-ma-ccb
-mister	-mister
-satisfncto-ctorio	-satisfncto-ctorio
-vicção	-viccao
aahio	aahio
aasumptoà	aasumptoa
absolutamentc	absolutamentc
absolutamente	absolutamente
acceiio	acceiio
acceileis	acceileis
accu-np	accu-np
acha-se	acha-se
acha-ze	acha-ze
achando-me	achando-me
achar-se	achar-se
achfido	achfido
acicncia	acicncia
acomoanheis	acomoanheis
aconteça	aconteca
acreicenlar	acreicenlar
acto	acto
(acto	acto
actos	actos
ad-mittida	ad-mittida
agi-tão	agi-tao
agra-deccr-lhe	agra-deccr-lhe
agrade-cicnantos	agrade-cicnantos
aiBumptos	aibumptos
aicaute	aicaute
aicel	aicel
aífirma	aifirma
aíim	aiim
alcançando	alcancando
alcançar	alcancar
alliviado	alliviado
ama-	ama-
amaahí	amaahi
amarrai-o	amarrai-o
ameaçava	ameacava
ãmparciHimente	amparcihimente
analphabetos	analphabetos
andarão	andarao
anjiu	anjiu
annc	annc
annó	anno
annos	annos
annual	annual
annuncio	annuncio
aojào	aojao
aolTrem	aoltrem
aoocui	aoocui
aorr-ciauecimcnto	aorr-ciauecimcnto
appro*	appro
aprehender	aprehender
apresentada	apresentada
armados	armados
arrúmem-se	arrumem-se
artig	artig
artig)	artig
artirmativa	artirmativa
assegurar-lhe	assegurar-lhe
assenta	assenta
assignadas	assignadas
assustadoura	assustadoura
atfirmar	atfirmar
athrmou	athrmou
atiypóihtse	atiypoihtse
attençno	attencno
attestadot}	attestadot
atteu-çào	atteu-cao
attos-tados	attos-tados
aubtdo	aubtdo
augmentavam	augmentavam
ba-»e	ba-e
ba-r	ba-r
bacilb	bacilb
bagí	bagi
bCiios	bciios
bemditas	bemditas
bem*no	bemno
benefica	benefica
benéfico	benefico
bisU»sem	bisusem
bronchilo	bronchilo
ca-valro	ca-valro
caao	caao
cacias	cacias
cadu	cadu
caixinha	caixinha
capacidade—a	capacidadea
caraclcrisado	caraclcrisado
cavall	cavall
cbügaria	cbugaria
çcla	ccla
ccnjectu-ras	ccnjectu-ras
ccnsideração	ccnsideracao
cçôos	ccoos
cffeiio	cffeiio
cffeito	cffeito
cfficaciu	cfficaciu
cfieito	cfieito
çfio	cfio
chi-méras	chi-meras
cila	cila
Çional	cional
circumalandas	circumalandas
civilisado	civilisado
cjvo	cjvo
clirfaJo	clirfajo
clTê	clte
clvmo	clvmo
çnhprnr	cnhprnr
cnjelmcntj	cnjelmcntj
cnmpu-zerem	cnmpu-zerem
cnusii	cnusii
co-nhecjdis	co-nhecjdis
coiiulia	coiiulia
collaboradores	collaboradores
comMgo	commgo
comnttes-oni	comnttes-oni
completame	completame
completamea-te	completamea-te
completamente	completamente
con-/	con-
con-du/ir	con-duir
con-fere	con-fere
con-trarit)	con-trarit
conbreiJoa	conbreijoa
concluil-a	concluil-a
condt-çõei	condt-coei
conh	conh
considerável	consideravel
considertt	considertt
considoraçõ	considoraco
considorci-me	considorci-me
consjatação	consjatacao
constante	constante
constantes	constantes
consultadoa	consultadoa
consultavão	consultavao
convem	convem
conveui-	conveui-
convircão	convircao
cooacguir	cooacguir
coQsuha	coqsuha
corbiTíf^Wborato	corbitifwborato
corpo-	corpo-
correspondeneia	correspondeneia
corua	corua
creou	creou
cri-rr	cri-rr
crimí-	crimi-
criminô-	crimino-
criminoao	criminoao
cruel	cruel
ç^stas	cstas
cstoma-hín	cstoma-hin
cstomr	cstomr
ctiioU	ctiiou
cu-|rad	cu-rad
cuidadosjsem	cuidadosjsem
cum-tudo	cum-tudo
cumplelamente	cumplelamente
cural-aa	cural-aa
czpedida	czpedida
dará	dara
dc-que	dc-que
dcclrtiaç	dcclrtiac
d’cntre	dcntre
dcspvza	dcspvza
>dctsc	dctsc
debatcl-a	debatcl-a
debel-lar	debel-lar
dedicada	dedicada
deíicto	deiicto
deixio	deixio
de^lel^to	delelto
delicados	delicados
delidos	delidos
dellc	dellc
