----	----
-----	-----
------	------
-------	-------
---------	---------
-------------—	-------------
---------------	---------------
----------------	----------------
-------------------1	-------------------
4-----------------------	-----------------------
------------------------	------------------------
---------------------------------	---------------------------------
------“I	------i
---V	---v
-AG1NA	-agna
-associada	-associada
-AVVVWWVÍS^	-avvvwwvis
-cce	-cce
-corrido	-corrido
-Criró	-criro
-das	-das
-dutor	-dutor
-EEIRA	-eeira
-Exf-«per	-exf-per
-FEIRA	-feira
42-57—Horario	-horario
-ido	-ido
-«IhEIIU	-iheiiu
-i*plra0ea	-iplraea
(<-lTcn	-ltcn
-ma-Ç0CB	-ma-ccb
-mas	-mas
-mister	-mister
-nfA»	-nfa
-•OHor	-ohor
-oren	-oren
-prcAcntação	-prcacntacao
-*rrv>»Ho	-rrvho
-satisfncto-ctorio	-satisfncto-ctorio
-solicitou	-solicitou
-torurwb	-torurwb
-vicção	-viccao
-zador	-zador
a-tlngld	a-tlngld
aa-üslencla	aa-uslencla
aahio	aahio
aáno	aano
aasumptoà	aasumptoa
abiorvcr	abiorvcr
ablncta	ablncta
absoluta	absoluta
absolutamentc	absolutamentc
absolutamente	absolutamente
absoluto	absoluto
acabarão	acabarao
acaidzíe	acaidzie
acceiio	acceiio
acceileis	acceileis
accníuada	accniuada
accu-np	accu-np
acha-sc	acha-sc
acha-se	acha-se
acha-ze	acha-ze
achando-me	achando-me
achar-se	achar-se
achfido	achfido
acicncia	acicncia
acionada	acionada
acnrdo	acnrdo
acomoanheis	acomoanheis
acomodou-se	acomodou-se
aconteça	aconteca
acredita-t	acredita-t
acreicenlar	acreicenlar
actc	actc
acto	acto
(acto	acto
actos	actos
acusu-çòts	acusu-cots
acuuçOes	acuucoes
ad-mittida	ad-mittida
adjacentes	adjacentes
admlte-se	admlte-se
adquiri-lo»	adquiri-lo
adquirida	adquirida
adrades	adrades
aeíma	aeima
aeoKfe-	aeokfe-
aeritoú	aeritou
afíccJonados	aficcjonados
afírria	afirria
agi-tão	agi-tao
agra-deccr-lhe	agra-deccr-lhe
agrade-cicnantos	agrade-cicnantos
agro-lndustrials	agro-lndustrials
aguar-	aguar-
aguarendo	aguarendo
ahstrataj	ahstrataj
aiBumptos	aibumptos
aicaute	aicaute
aicel	aicel
aífirma	aifirma
aíim	aiim
aimpn-	aimpn-
aintte	aintte
aítl-(M	aitl-m
aituaçlo	aituaclo
âiwio	aiwio
alcançando	alcancando
alcançar	alcancar
aleacarioa	aleacarioa
alecatlra	alecatlra
alemã	alema
alemá	alema
alliviado	alliviado
allz«ção	allzcao
al£uns	aluns
ama-	ama-
amaahí	amaahi
amarrai-o	amarrai-o
ameaçava	ameacava
americana	americana
am»go<	amgo
aMistcncíil	amistcnciil
ãmparciHimente	amparcihimente
ampard	ampard
analphabetos	analphabetos
anaütar	anautar
anbreviva-r*m	anbreviva-rm
andarão	andarao
anêmicas	anemicas
aníe-ontem	anie-ontem
anjiu	anjiu
annc	annc
annó	anno
annos	annos
annual	annual
annuncio	annuncio
anoa)	anoa
antccroa-va	antccroa-va
anter	anter
anterior	anterior
antex	antex
antigamente	antigamente
anual	anual
anuilmenle	anuilmenle
anunciada	anunciada
aoenas	aoenas
